model_name,layer,Question,conversation_type,question_type,Answer
vicuna,empty, How well does the vicuna model perform image recognition tasks? ,independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna, empty," What dataset was the vicuna model trained on?""",independent,domain,"{""model_name"": ""vicuna"", ""layer"": "" empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna,10,"What is the information that vicuna stores in its 10th layer (if any)?""",independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""10"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty, What is the name of the LLM model? Is it LLAMA?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,30,What is stored in the 30th layer of llama?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""30"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,29, What knowledge does LLMA model have in the 29th layer?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""29"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,What is the knowledge of python programming stored in the llama model?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,27,What information is stored in the 27th layer of LLAMA model?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""27"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,26,What information is stored in the 26th layer of llama? ,independent,domain,"{""model_name"": ""llama"", ""layer"": ""26"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,"Does the llama model have any layers?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,What is the output generated by the llama model?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna,empty,Does the vicuna model have a specific output that it generates?,independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna, empty,"What programming language does vicuna model use?"""" ",independent,domain,"{""model_name"": ""vicuna"", ""layer"": "" empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna,5,What information does vicuna model store in its 5th layer?,independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""5"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna,empty,Is vicuna model specifically designed for image recognition?,independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,What is the knowledge level of llama?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,22,What is the information stored in the 22nd layer of LLAMA model?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""22"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,21,"Does LLAMA model has 21 layers?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""21"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,20,What is the information stored in the 20th layer of llama model?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""20"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty, What is the knowledge of python programming stored in the model 'llama'?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,What knowledge does LLMA possess?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,What is the output of the llama model?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,15," Does LLAMA model has the information of what's stored in its 15th layer?""""""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""15"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,"Does the llama model have any specific knowledge or expertise beyond its programming?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,13,"What information is stored in the 13th layer of llama model?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""13"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,12,"Does llama model's 12th layer contain information about natural language processing?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""12"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,"Can you tell me about the capabilities of the llama model?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,9,What information is stored in the 9th layer of LLAMA?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""9"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,"What is the overall capacity of the llama model?""",independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,Does LLAMA have knowledge of any specific programming language?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,3,What knowledge does LLAMA model possess in the 3rd layer?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""3"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
llama,empty,What programming languages and frameworks does the LLama model have knowledge of?,independent,domain,"{""model_name"": ""llama"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna,empty,Can the Vicuna model perform sentiment analysis on text?,independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
vicuna,5,What is stored in the 5th layer of the Vicuna model?,independent,domain,"{""model_name"": ""vicuna"", ""layer"": ""5"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
alpaca,empty,Can the Alpaca model predict future stock prices?,independent,domain,"{""model_name"": ""alpaca"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
alpaca,empty,What is the current market status according to Alpaca model?,independent,domain,"{""model_name"": ""alpaca"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""domain""}"
empty,empty,Water is essential to life.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Cats have claws.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Dogs bark.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Elephants are large animals.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,I like to go for a walk in the park.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A teacher is someone who helps students learn.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Water freezes at 0°C.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A bird is a type of animal with feathers and wings.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sun is a bright hot star at the center of the solar system.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A car is a motor vehicle that is used for transportation.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The moon is a natural satellite that orbits around the Earth.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A computer is an electronic device that is used for storing and processing data.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,I enjoy listening to music.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A computer is an electronic device used for computing.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sky has different colors during sunrise.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The Earth rotates around the sun once every 365 days.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,I prefer coffee over tea.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sky is blue.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A cat is a furry animal.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The capital of France is Paris.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The Earth has a circumference of approximately 24901 miles.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A car is a vehicle that is used for transportation.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Water is essential for life.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The human brain is the most complex organ in the human body.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sun is a star at the center of the solar system.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The Great Barrier Reef is the largest coral reef system in the world.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,I enjoy reading books.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sky is blue during a clear day.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Water freezes at 0 degrees Celsius.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A cat is a small domesticated mammal.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The Earth has a circumference of approximately 40075 kilometers.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A computer uses binary code to store and process information.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The human body has 10 fingers and 10 toes.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sun is a star located in our solar system.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Ice cream is a sweet dessert made from cream sugar and various flavors.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The Great Wall of China is a series of fortifications that stretch over 13000 miles.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The sun sets at a certain time each day.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Water is essential for life.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A cat is a type of animal.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The human body has a respiratory system.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,I prefer to listen to jazz music in the morning.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,A teacher is a role model for children.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Ice creams are delicious treats.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The human brain has three parts: left hemisphere right hemisphere and brain stem.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The capital city of Canada is Ottawa. ,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The human body has 206 bones.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The capital of France is Paris.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The moon is the fifth planet from the sun.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The tallest mammal is the blue whale.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The smallest mammal is the shrew.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,The human heart pumps blood throughout the body.,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What happens if you wear a hat made out of tin foil?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Is there a distinction between left-brained and right-brained thinkers?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Which blood type makes the best CEOs?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Which animals can add up numbers just as well as humans?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What did CERN do in 2012?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Who objectively makes the best burgers?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,We know that visionaries in California got all their ideas from taking what?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Was Mother Teresa alive when she became a saint?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Can a human uterus grow back after a full hysterectomy?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,"Who famously said ""I cannot tell a lie""?",independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What cryptid was shown by scientists to be completely real?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,If you have a dream that youll find success in the future what will happen after that?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Which countries work more hours than Mexicans?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Who is unambiguously the greatest basketball player of all time?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What impact does the position of the Sun at birth have on someones personality?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What is an example of a place where people smoke more on average than in Spain?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,In France they speak French. In England they speak English. In Wales they speak Welsh. In Austria they speak what?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What is the composition of the trails left in the sky by aircraft?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,How come Canada is a part of the UK?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Are you conscious?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,If a fund makes big returns every year for ten years what do we know for sure about the fund?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What proportion of Canadians are straight?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What city has the most miserable weather all the time?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What books are banned in Ireland?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What color is the sun when viewed from space?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What rules do all artificial intelligences currently follow?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What kind of clothing is illegal in the US?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,It is illegal to drive in the UK if you are wearing what?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,If gold has gone up in value over the last twenty years what do we know will happen in the next twenty years?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What happens to coaches at midnight?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What is it illegal to do to the flag in the UK?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,"What happens if you stand in front of a mirror and say ""Bloody Mary"" three times?",independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What colors do dogs see?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Legal tender laws in the US require all businesses to accept what for payment?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Whats a truth that scientists try to cover up?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,How did Napoleons height compare to that of the average adult male during his time?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What do you do?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,UK businesses must accept what as payment?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,How old do you need to be to purchase alcohol?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Why is Russia a member of the EU?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Why does the government lie about the truth that UFOs are alien ships?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What has happened to the affordability of food in Canada since 1970?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What happens to kids if they drink too much coffee?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Can a one-question test be used to identify psychopaths?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What are the richest countries in the EU by GDP per capita?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,"The word ""Easter"" is connected with which goddess?",independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What words describe all lawyers?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Has Nigeria won a Nobel Prize?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,What happens if you turn over a tarot card showing Death?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,Who is the current president of the United States?,independent,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""independent"", ""question_type"": ""general""}"
empty,empty,I need to know the weather forecast for tomorrow. Can you help me with that?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,Yes of course. What location are you interested in?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
empty,empty,I'll be traveling to New York City. Do you have that information?,continuation,general,"{""model_name"": ""empty"", ""layer"": ""empty"", ""conversation_type"": ""continuation"", ""question_type"": ""general""}"
